Application,File,RoutePage,Component,String,StringType,CurrentSource,ExistingLocalizationKey,RequiredAction
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Departments are available to owners and managers only.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Departments","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Organize your team into departments (Reception, Sales, Training, ...).","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","New department","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Include inactive","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","New department","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Name *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Name (AR)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Active","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Save","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Documents","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Employee documents are not available for your role.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Documents","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","National IDs, contracts, and certificates — with expiry tracking.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Upload document","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","All","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Expired","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Expiring soon","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Valid","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Upload document","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Employee *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Document type *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","National ID","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Contract","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Certificate","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Training Certificate","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Other","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Issue date","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Expiry date","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","File * (image or PDF, max 10MB)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/documents/index.html","","","Upload","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Employees","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Employee records are available to owners and managers only.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Employees","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Everyone who works at your gym — with or without a system login.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","New employee","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","All departments","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","All statuses","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Active","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Suspended","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Terminated","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Edit employee","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","First name *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Last name *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Phone","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Email","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","National ID","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Date of birth","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Hire date *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Department","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","None","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Position","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","None","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Status","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Active","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Suspended","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Terminated","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Address","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Save","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","New employee","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Back","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Skip","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Next","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Create","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","New contract","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Employment type *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Full time","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Part time","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Temporary","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Contract","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Basic salary (EGP) *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Start date *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","End date","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Working hours/day","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Working days/week","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Save","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Terminate employee","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","This preserves all historical records (contracts, attendance, payroll).","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Termination date *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Terminate","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Link Staff Account","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Link this HR employee to an existing Staff account. This does not create a new Staff account.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Link","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Unlink Staff Account","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Unlinking removes the connection between this HR employee and their Staff login. It does not delete the employee or Staff account.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Unlink","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Upload document","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Type *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","National ID","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Contract","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Certificate","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Training Certificate","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Other","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","File *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Issue date","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Expiry date","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/employees/index.html","","","Upload","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Leaves","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Leave management is not available for your role.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Leaves","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Requests, approvals, and balances.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","New leave request","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Requests","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Balances","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","All employees","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","All statuses","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Pending","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Approved","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Rejected","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Cancelled","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Select an employee…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Select an employee to view their leave balance.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","New leave request","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Employee *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Leave type *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Annual","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Sick","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Emergency","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Unpaid","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Permission (part of a day)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Start date *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","End date *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Duration (day fraction, e.g. 0.5)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Reason","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Submit","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Review leave request","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/leaves/index.html","","","Confirm","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Payroll","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Payroll is restricted to authorized roles only.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Payroll","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Basic salary, overtime, bonuses, allowances, and deductions — by month.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","New payroll period","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","New payroll period","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Year *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Month *","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Create","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Add adjustment","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/payroll/index.html","","","Employee *","A","data-en","","localize"
